staging_id,raw_id,inmobiliaria_id,validation_score,priority_estimada,geocoding_status,precio,moneda,latitud,longitud,titulo,url_normalizada,warnings
81735,82225,3531,75,2,done,200000,ARS,-34.979437,-67.6895598,Departamento en Alquiler,inmobiliariaangelinam.com.ar/ver.php?id=61&propiedad=departamento+en+alquiler+ubicada+en+general+alvear%2C+mendoza,missing_city_or_province_but_coords_present;missing_images
81736,82226,3531,75,2,done,250000,ARS,-34.979437,-67.6895598,Departamento en Alquiler,inmobiliariaangelinam.com.ar/ver.php?id=60&propiedad=departamento+en+alquiler+ubicada+en+general+alvear%2C+mendoza,missing_city_or_province_but_coords_present;missing_images
81737,82227,3531,75,2,done,250000,ARS,-34.979437,-67.6895598,Departamento en Alquiler,inmobiliariaangelinam.com.ar/ver.php?id=59&propiedad=departamento+en+alquiler+ubicada+en+general+alvear%2C+mendoza,missing_city_or_province_but_coords_present;missing_images
81739,82229,3531,75,2,done,160000,ARS,-34.9792437,-67.6887205,Departamento en Alquiler,inmobiliariaangelinam.com.ar/ver.php?id=57&propiedad=departamento+en+alquiler+ubicada+en+general+alvear%2C+mendoza,missing_city_or_province_but_coords_present;missing_images
81740,82230,3531,75,2,done,140000,ARS,-34.9741367,-67.6995483,Departamento en Alquiler,inmobiliariaangelinam.com.ar/ver.php?id=56&propiedad=departamento+en+alquiler+ubicada+en+general+alvear%2C+mendoza,missing_city_or_province_but_coords_present;missing_images
81742,82232,3531,75,2,done,130000,ARS,-34.9741367,-67.6995483,Departamento en Alquiler,inmobiliariaangelinam.com.ar/ver.php?id=54&propiedad=departamento+en+alquiler+ubicada+en+general+alvear%2C+mendoza,missing_city_or_province_but_coords_present;missing_images
81743,82233,3531,75,2,done,100000,ARS,-34.9741367,-67.6995483,Departamento en Alquiler,inmobiliariaangelinam.com.ar/ver.php?id=53&propiedad=departamento+en+alquiler+ubicada+en+general+alvear%2C+mendoza,missing_city_or_province_but_coords_present;missing_images
81745,82235,3531,75,2,done,140000,ARS,-34.9741367,-67.6995483,Departamento en Alquiler,inmobiliariaangelinam.com.ar/ver.php?id=51&propiedad=departamento+en+alquiler+ubicada+en+general+alvear%2C+mendoza,missing_city_or_province_but_coords_present;missing_images
81746,82236,3531,75,2,done,140000,ARS,-34.9976597,-67.650692,Casa en Alquiler,inmobiliariaangelinam.com.ar/ver.php?id=50&propiedad=casa+en+alquiler+ubicada+en+general+alvear%2C+mendoza,missing_city_or_province_but_coords_present;missing_images
81747,82237,3531,75,2,done,100000,ARS,-34.9767965,-67.6908183,Local en Alquiler,inmobiliariaangelinam.com.ar/ver.php?id=47&propiedad=local+en+alquiler+ubicada+en+general+alvear%2C+mendoza,missing_city_or_province_but_coords_present;missing_images
81749,82239,3531,75,2,done,70000,ARS,-34.978124,-67.6989412,Departamento en Alquiler,inmobiliariaangelinam.com.ar/ver.php?id=45&propiedad=departamento+en+alquiler+ubicada+en+general+alvear%2C+mendoza,missing_city_or_province_but_coords_present;missing_images
81752,82242,3531,75,2,done,60000,ARS,-34.9779297,-67.6994141,Local en Alquiler,inmobiliariaangelinam.com.ar/ver.php?id=42&propiedad=local+en+alquiler+ubicada+en+general+alvear%2C+mendoza,missing_city_or_province_but_coords_present;missing_images
81753,82243,3531,75,2,done,60000,ARS,-34.9779297,-67.6994141,Local en Alquiler,inmobiliariaangelinam.com.ar/ver.php?id=41&propiedad=local+en+alquiler+ubicada+en+general+alvear%2C+mendoza,missing_city_or_province_but_coords_present;missing_images
81754,82244,3531,75,2,done,60000,ARS,-34.9779297,-67.6994141,Local en Alquiler,inmobiliariaangelinam.com.ar/ver.php?id=40&propiedad=local+en+alquiler+ubicada+en+general+alvear%2C+mendoza,missing_city_or_province_but_coords_present;missing_images
81755,82245,3531,75,2,done,60000,ARS,-34.9779297,-67.6994141,Local en Alquiler,inmobiliariaangelinam.com.ar/ver.php?id=39&propiedad=local+en+alquiler+ubicada+en+general+alvear%2C+mendoza,missing_city_or_province_but_coords_present;missing_images
81757,82247,3531,75,2,done,55000,ARS,-34.9717092,-67.6990996,Departamento en Alquiler,inmobiliariaangelinam.com.ar/ver.php?id=37&propiedad=departamento+en+alquiler+ubicada+en+general+alvear%2C+mendoza,missing_city_or_province_but_coords_present;missing_images
